Base/Vtypes,Mnemonic,Category,V operands,G operands,Description,Src Type,Dst Type (dst_width = src_width),Dst Type (dst_width = 2*src_width),Dst Type (dst_width = src_width / 2),"Dst Vector/Scalar Behavior: vector src,  scalar dst (instruction mask bits = 00, or scalar shape when vtypes is enabled)","Dst Scalar/Vector Behavior: vector dst,  scalar src (src was written previously as a scalar using 00 mask bits)"
Vtypes,VNMADD,multiply-add,3,0,negated multiply add,"S/U,F","S/U,F","S/U,F",ILLEGAL,Reduction,Splat
Vtypes,VNMSUB,multiply-add,3,0,negated multiply sub,"S/U,F","S/U,F","S/U,F",ILLEGAL,ILLEGAL,Splat
Base,VEXTRACT,permute,1,1,extract element -> GPR,B,B,ILLEGAL,ILLEGAL,GPR,N/A
Base,VINSERT,permute,1,2,insert element(s),B,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VMERGE,permute,2,0,merge registers,B,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VSELECT,permute,2,0,select from source by indicies,B,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VSLIDE,permute,1,1,shift elements,B,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VRGATHER,permute,2,0,gather elements from vector register,B,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VCLIP,round,1,1,clip to narrow,S/U,S/U,ILLEGAL,S/U,First Element,Splat
Base,VCLIPI,round,1,0,"Clip, shift by imm",S/U,S/U,ILLEGAL,S/U,First Element,Splat
Vtypes,VMAX,select,2,0,return max element,"S/U,F","S/U,F",ILLEGAL,ILLEGAL,Reduction,Splat
Base,VMAX.X,select,2,0,return max element,S/U,S/U,ILLEGAL,ILLEGAL,First Element,Splat
Base,"VFMAX.[H,S,D]",select,2,0,return max element,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VMIN,select,2,0,return min element,"S/U,F","S/U,F",ILLEGAL,ILLEGAL,Reduction,Splat
Base,VMIN.X,select,2,0,return min element,S/U,S/U,ILLEGAL,ILLEGAL,First Element,Splat
Base,"VFMIN.[H,S,D]",select,2,0,return min element,F,F,ILLEGAL,ILLEGAL,First Element,Splat
VTypes,VREDSUM,reduction,1,0,sum reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VTypes,VREDMIN,reduction,1,0,min reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VTypes,VREDMAX,reduction,1,0,max reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VTypes,VREDAND,reduction,1,0,and reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VTypes,VREDOR,reduction,1,0,or reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
VTypes,VREDXOR,reduction,1,0,xor reduction,"S/U,F","S/U,F",ILLEGAL,"S/U,F",Reduction,Splat
Base,VREDSUM.X,reduction,1,0,sum reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VREDMIN.X[U],reduction,1,0,min reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VREDMAX.X[U],reduction,1,0,max reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VREDAND.X,reduction,1,0,and reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VREDOR.X,reduction,1,0,or reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VREDXOR.X,reduction,1,0,xor reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,Splat
Base,"VFREDSUM.[H,S,D]",reduction,1,0,sum reduction,F,F,ILLEGAL,ILLEGAL,Reduction,Splat
Base,"VFREDMIN.[H,S,D]",reduction,1,0,min reduction,F,F,ILLEGAL,ILLEGAL,Reduction,Splat
Base,"VFREDMAX.[H,S,D]",reduction,1,0,max reduction,F,F,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VSL,shift,2,0,Shift Left,I,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VSLI,shift,1,0,shift left by immediate,I,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VSR,shift,2,0,Shift Right (arithmetic),I,B,ILLEGAL,ILLEGAL,First Element,Splat
Base,VSRI,shift,1,0,shift right by immediate,I,B,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VS,store,1,1,store vector (unit stride),I,"B,F",ILLEGAL,ILLEGAL,First Element,Splat
Base,"VS.[B,H,W,D][U]",store,1,1,store vector (unit stride),I,B,ILLEGAL,ILLEGAL,Write First Element,Splat
Vtypes,VSS,store,1,2,store vector (stride),I,"B,F",ILLEGAL,ILLEGAL,First Element,Write a single value
Base,"VSS.[B,H,W,D][U]",store,1,2,store vector (stride),I,B,ILLEGAL,ILLEGAL,Write First Element,Splat
Vtypes,VSX,store,2,1,store vector indexed (scatter),I,"B,F",ILLEGAL,ILLEGAL,First Element,Write a single value
Base,"VSX.[B,H,W,D][U]",store,2,1,store vector indexed (scatter),I,B,ILLEGAL,ILLEGAL,Write First Element,Splat
Vtypes,VSO,store,1,1,store vector ordered,I,"B,F",ILLEGAL,ILLEGAL,First Element,Write a single value
Vtypes,VAMOADD,xAtomic:arith,2,0,Atomic: VAdd,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
Vtypes,VAMOAND,xAtomic:logical,2,0,Atomic: AND,B,B,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
Vtypes,VAMOOR,xAtomic:logical,2,0,Atomic: OR,B,B,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
Vtypes,VAMOXOR,xAtomic:logical,2,0,Atomic: XOR,B,B,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
Vtypes,VAMOMAX,xAtomic:select,2,0,Atomic: Vmax,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
Vtypes,VAMOMIN,xAtomic:select,2,0,Atomic: VMin,S/U,S/U,ILLEGAL,ILLEGAL,Reduction,ILLEGAL
Vtypes,VAMOSWAP,xAtomic:swap,2,0,Atomic: VSwap,B,B,ILLEGAL,ILLEGAL,First Element,ILLEGAL
