Mnemonic,Category,V operands,G operands,Description,Src Type,Dst Type (dst_width = src_width),Dst Type (dst_width = 2*src_width),Dst Type (dst_width = src_width / 2),Scalar dst behavior (m = 00)
VINSERT,permute,1,2,insert element(s) from GPR,B,B,ILLEGAL,ILLEGAL,First Element
VFINSERT,permute,1,2,insert element(s) from FPR,B,B,ILLEGAL,ILLEGAL,First Element
VMERGE,permute,2,0,merge registers,B,B,ILLEGAL,ILLEGAL,First Element
VSELECT,permute,2,0,select from source by indicies,B,B,ILLEGAL,ILLEGAL,First Element
VSLIDEDOWN,permute,1,1,shift elements down by index,B,B,ILLEGAL,ILLEGAL,First Element
VSLIDEUP,permute,1,1,shift elements up by index,B,B,ILLEGAL,ILLEGAL,First Element
VRGATHER,permute,2,0,gather elements from vector register,B,B,ILLEGAL,ILLEGAL,First Element
VCLIP,round,1,1,clip to narrow,S/U,S/U,ILLEGAL,S/U,First Element
VCLIPI,round,1,0,"Clip, shift by imm",S/U,S/U,ILLEGAL,S/U,First Element
VMAX.X,select,2,0,return max element,S/U,S/U,ILLEGAL,ILLEGAL,First Element
"VFMAX.[H,S,D]",select,2,0,return max element,F,F,ILLEGAL,ILLEGAL,First Element
VMIN.X,select,2,0,return min element,S/U,S/U,ILLEGAL,ILLEGAL,First Element
"VFMIN.[H,S,D]",select,2,0,return min element,F,F,ILLEGAL,ILLEGAL,First Element
VREDSUM.X,reduction,1,0,sum reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction
VREDMIN.X[U],reduction,1,0,min reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction
VREDMAX.X[U],reduction,1,0,max reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction
VREDAND.X,reduction,1,0,and reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction
VREDOR.X,reduction,1,0,or reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction
VREDXOR.X,reduction,1,0,xor reduction,S/U,S/U,ILLEGAL,ILLEGAL,Reduction
"VFREDSUM.[H,S,D]",reduction,1,0,sum reduction,F,F,ILLEGAL,ILLEGAL,Reduction
"VFREDMIN.[H,S,D]",reduction,1,0,min reduction,F,F,ILLEGAL,ILLEGAL,Reduction
"VFREDMAX.[H,S,D]",reduction,1,0,max reduction,F,F,ILLEGAL,ILLEGAL,Reduction
VSL,shift,2,0,Shift Left,I,B,ILLEGAL,ILLEGAL,First Element
VSLI,shift,1,0,shift left by immediate,I,B,ILLEGAL,ILLEGAL,First Element
VSRA,shift,2,0,Shift Right (arithmetic),I,B,ILLEGAL,ILLEGAL,First Element
VSRAI,shift,1,0,arithmetic shift right by immediate,I,B,ILLEGAL,ILLEGAL,First Element
VSRL,shift,2,0,Shift Right (logical),I,B,ILLEGAL,ILLEGAL,First Element
VSRLI,shift,1,0,logical shift right by immediate,I,B,ILLEGAL,ILLEGAL,First Element
"VS.[B,H,W,D][U]",store,1,1,store vector (unit stride),I,B,ILLEGAL,ILLEGAL,Write First Element
"VSS.[B,H,W,D][U]",store,1,2,store vector (stride),I,B,ILLEGAL,ILLEGAL,Write First Element
"VSX.[B,H,W,D][U]",store,2,1,store vector indexed (scatter),I,B,ILLEGAL,ILLEGAL,Write First Element
